"","Drug","log2MIC","Gene","log2FC"
"1594","Cipro",1,"gene29",0.833227866
"1595","Cipro",2,"gene29",-0.119273831
"1596","Cipro",3,"gene29",-2.295740941
"1597","Levo",-3,"gene29",-0.668759044
"1598","Levo",-2,"gene29",0.423215519
"1599","Levo",-1,"gene29",0.59864654
"1600","Levo",0,"gene29",-0.718034518
"1601","Levo",1,"gene29",-1.975176874
"1602","Levo",2,"gene29",-2.572473636
"1603","Levo",3,"gene29",-4.402532692
"1604","PAS",-3,"gene29",0.802825347
"1605","PAS",-2,"gene29",1.363949433
"1606","PAS",-1,"gene29",1.095957732
"1607","PAS",0,"gene29",1.05348595
"1608","PAS",1,"gene29",1.312352505
"1609","PAS",2,"gene29",1.305039115
"1610","PAS",3,"gene29",0.368513667
"1611","Line",-3,"gene29",-0.86967975
"1612","Line",-2,"gene29",-1.681034042
"1613","Line",-1,"gene29",-1.929734507
"1614","Line",0,"gene29",-1.735419621
"1615","Line",1,"gene29",-2.547522284
"1616","Line",2,"gene29",-2.271397879
"1617","Line",3,"gene29",-1.784387137
"1618","Rif",-3,"gene29",-0.912574303
"1619","Rif",-2,"gene29",-1.006962726
"1620","Rif",-1,"gene29",-1.636733155
"1621","Rif",0,"gene29",-2.298585911
"1622","Rif",1,"gene29",-2.878338777
"1623","Rif",2,"gene29",-2.723737904
"1624","Rif",3,"gene29",-3.622275475
"1625","Ethi",-3,"gene30",-0.186953546
"1626","Ethi",-2,"gene30",-0.452300155
"1627","Ethi",-1,"gene30",0.438214379
"1628","Ethi",0,"gene30",0.132168823
"1629","Ethi",1,"gene30",-0.549993902
"1630","Ethi",2,"gene30",-2.122583183
"1631","Ethi",3,"gene30",-1.62554053
"1632","KasA",-3,"gene30",-0.266596759
"1633","KasA",-2,"gene30",0.086704991
"1634","KasA",-1,"gene30",-0.272938793
"1635","KasA",0,"gene30",-0.651311747
"1636","KasA",1,"gene30",-0.504877459
"1637","KasA",2,"gene30",-1.54478287
"1638","KasA",3,"gene30",-3.010623629
"1639","Etha",-3,"gene30",0.681067792
"1640","Etha",-2,"gene30",0.361942701
"1641","Etha",-1,"gene30",1.059274688
"1642","Etha",0,"gene30",0.76785736
"1643","Etha",1,"gene30",0.449292493
"1644","Etha",2,"gene30",-0.819739103
"1645","Etha",3,"gene30",-0.75942621
"1646","Cipro",-3,"gene30",0.192944346
"1647","Cipro",-2,"gene30",0.640953065
"1648","Cipro",-1,"gene30",0.760289695
"1649","Cipro",0,"gene30",1.112002321
"1650","Cipro",1,"gene30",1.246907174
"1651","Cipro",2,"gene30",1.925895054
"1652","Cipro",3,"gene30",-1.43864981
"1653","Levo",-3,"gene30",-0.119450978
"1654","Levo",-2,"gene30",1.078532846
"1655","Levo",-1,"gene30",1.060082427
"1656","Levo",0,"gene30",0.240420084
"1657","Levo",1,"gene30",-2.143907297
"1658","Levo",2,"gene30",-1.933527287
"1659","Levo",3,"gene30",-4.351969416
"1660","PAS",-3,"gene30",0.642268252
"1661","PAS",-2,"gene30",1.233235255
"1662","PAS",-1,"gene30",0.961737601
"1663","PAS",0,"gene30",1.254493148
"1664","PAS",1,"gene30",1.419136866
"1665","PAS",2,"gene30",1.545358498
"1666","PAS",3,"gene30",-0.141409785
"1667","Line",-3,"gene30",-0.972420506
"1668","Line",-2,"gene30",-1.775292613
"1669","Line",-1,"gene30",-2.007312205
"1670","Line",0,"gene30",-1.629888998
"1671","Line",1,"gene30",-2.508835441
"1672","Line",2,"gene30",-2.145980498
"1673","Line",3,"gene30",-1.59512358
"1674","Rif",-3,"gene30",-0.40491114
"1675","Rif",-2,"gene30",-0.45968221
"1676","Rif",-1,"gene30",-0.94453483
"1677","Rif",0,"gene30",-1.733045338
"1678","Rif",1,"gene30",-2.56586247
"1679","Rif",2,"gene30",-2.59645079
"1680","Rif",3,"gene30",-3.447785513
"1681","Ethi",-3,"gene31",-0.403656474
"1682","Ethi",-2,"gene31",-0.862405125
"1683","Ethi",-1,"gene31",0.497210025
"1684","Ethi",0,"gene31",-0.116242723
"1685","Ethi",1,"gene31",-0.3936841
"1686","Ethi",2,"gene31",-2.353763503
"1687","Ethi",3,"gene31",-2.777272652
"1688","KasA",-3,"gene31",-0.116219593
"1689","KasA",-2,"gene31",0.355078653
"1690","KasA",-1,"gene31",0.18959426
"1691","KasA",0,"gene31",-0.706319579
"1692","KasA",1,"gene31",-0.768618104
"1693","KasA",2,"gene31",-1.418558923
"1694","KasA",3,"gene31",-3.730765205
"1695","Etha",-3,"gene31",-0.001956879
"1696","Etha",-2,"gene31",-0.490722113
"1697","Etha",-1,"gene31",-0.678530136
"1698","Etha",0,"gene31",-1.685791813
"1699","Etha",1,"gene31",-1.954734188
"1700","Etha",2,"gene31",-2.528649767
"1701","Etha",3,"gene31",-2.284752842
"1702","Cipro",-3,"gene31",0.244426253
"1703","Cipro",-2,"gene31",0.782417549
"1704","Cipro",-1,"gene31",0.611668813
"1705","Cipro",0,"gene31",1.102947514
"1706","Cipro",1,"gene31",0.789002963
"1707","Cipro",2,"gene31",0.410894948
"1708","Cipro",3,"gene31",-2.125577707
"1709","Levo",-3,"gene31",-0.795079562
"1710","Levo",-2,"gene31",0.324584974
"1711","Levo",-1,"gene31",0.337449803
"1712","Levo",0,"gene31",-1.279984235
"1713","Levo",1,"gene31",-3.193020319
"1714","Levo",2,"gene31",-3.107541717
"1715","Levo",3,"gene31",-5.205060832
"1716","PAS",-3,"gene31",0.300741539
"1717","PAS",-2,"gene31",0.476705125
"1718","PAS",-1,"gene31",0.061791707
"1719","PAS",0,"gene31",-0.075364445
"1720","PAS",1,"gene31",0.088041692
"1721","PAS",2,"gene31",0.153426955
"1722","PAS",3,"gene31",-0.787707302
"1723","Line",-3,"gene31",-0.887170911
"1724","Line",-2,"gene31",-1.973412989
"1725","Line",-1,"gene31",-1.89816991
"1726","Line",0,"gene31",-2.097912922
"1727","Line",1,"gene31",-3.446048246
"1728","Line",2,"gene31",-2.648441301
"1729","Line",3,"gene31",-1.951738478
"1730","Rif",-3,"gene31",-1.793256813
"1731","Rif",-2,"gene31",-1.709420508
"1732","Rif",-1,"gene31",-2.315169547
"1733","Rif",0,"gene31",-2.823739916
"1734","Rif",1,"gene31",-3.196031835
"1735","Rif",2,"gene31",-3.150242636
"1736","Rif",3,"gene31",-3.75177071
"1737","Ethi",-3,"gene32",-0.263198079
"1738","Ethi",-2,"gene32",-0.418806683
"1739","Ethi",-1,"gene32",0.340045982
"1740","Ethi",0,"gene32",-0.088936567
"1741","Ethi",1,"gene32",-0.486900552
"1742","Ethi",2,"gene32",-2.019343208
"1743","Ethi",3,"gene32",-1.532097667
"1744","KasA",-3,"gene32",-0.268318803
"1745","KasA",-2,"gene32",-0.089974576
"1746","KasA",-1,"gene32",-0.600760649
"1747","KasA",0,"gene32",-1.28189934
"1748","KasA",1,"gene32",-1.482623844
"1749","KasA",2,"gene32",-1.964830854
"1750","KasA",3,"gene32",-3.156520073
"1751","Etha",-3,"gene32",0.519988174
"1752","Etha",-2,"gene32",0.488826368
"1753","Etha",-1,"gene32",2.066954354
"1754","Etha",0,"gene32",2.610427088
"1755","Etha",1,"gene32",-0.114974974
"1756","Etha",2,"gene32",-1.021632444
"1757","Etha",3,"gene32",-0.945360864
"1758","Cipro",-3,"gene32",0.260043722
"1759","Cipro",-2,"gene32",0.879569318
"1760","Cipro",-1,"gene32",0.928129988
"1761","Cipro",0,"gene32",1.362527814
"1762","Cipro",1,"gene32",1.60930646
"1763","Cipro",2,"gene32",0.722918378
"1764","Cipro",3,"gene32",-2.236631702
"1765","Levo",-3,"gene32",-0.099760322
"1766","Levo",-2,"gene32",0.930502744
"1767","Levo",-1,"gene32",1.152364705
"1768","Levo",0,"gene32",-0.137314846
"1769","Levo",1,"gene32",-2.869790901
"1770","Levo",2,"gene32",-1.901691335
"1771","Levo",3,"gene32",-3.508140614
"1772","PAS",-3,"gene32",0.505235308
"1773","PAS",-2,"gene32",0.838832516
"1774","PAS",-1,"gene32",0.567063862
"1775","PAS",0,"gene32",0.839179401
"1776","PAS",1,"gene32",1.153631024
"1777","PAS",2,"gene32",1.601517609
"1778","PAS",3,"gene32",0.751044394
"1779","Line",-3,"gene32",-0.787933331
"1780","Line",-2,"gene32",-1.988293994
"1781","Line",-1,"gene32",-1.815329374
"1782","Line",0,"gene32",-1.900714425
"1783","Line",1,"gene32",-2.502300293
"1784","Line",2,"gene32",-2.057394006
"1785","Line",3,"gene32",-1.617396767
"1786","Rif",-3,"gene32",-0.267540911
"1787","Rif",-2,"gene32",0.154342967
"1788","Rif",-1,"gene32",-0.414219645
"1789","Rif",0,"gene32",-1.258802931
"1790","Rif",1,"gene32",-1.469642616
"1791","Rif",2,"gene32",-1.92236352
"1792","Rif",3,"gene32",-3.197386072
"1793","Ethi",-3,"gene33",-0.466568721
"1794","Ethi",-2,"gene33",-1.185581288
"1795","Ethi",-1,"gene33",0.574775239
"1796","Ethi",0,"gene33",-0.024787867
"1797","Ethi",1,"gene33",-0.03622577
"1798","Ethi",2,"gene33",-0.746472596
"1799","Ethi",3,"gene33",-1.695804311
"1800","KasA",-3,"gene33",-0.393291314
"1801","KasA",-2,"gene33",0.149238568
"1802","KasA",-1,"gene33",-0.350218324
"1803","KasA",0,"gene33",-0.998417391
"1804","KasA",1,"gene33",-0.659303269
"1805","KasA",2,"gene33",-1.034861526
"1806","KasA",3,"gene33",-3.75920248
"1807","Etha",-3,"gene33",0.332498056
"1808","Etha",-2,"gene33",0.418932522
"1809","Etha",-1,"gene33",1.158144244
"1810","Etha",0,"gene33",0.728549321
"1811","Etha",1,"gene33",-1.049107814
"1812","Etha",2,"gene33",-1.979422565
"1813","Etha",3,"gene33",-1.517743803
"1814","Cipro",-3,"gene33",0.400824083
"1815","Cipro",-2,"gene33",0.843092804
"1816","Cipro",-1,"gene33",0.945341223
"1817","Cipro",0,"gene33",1.727438085
"1818","Cipro",1,"gene33",1.933671525
"1819","Cipro",2,"gene33",2.613192708
"1820","Cipro",3,"gene33",-1.815196528
"1821","Levo",-3,"gene33",-0.189603585
"1822","Levo",-2,"gene33",0.849896654
"1823","Levo",-1,"gene33",1.177617082
"1824","Levo",0,"gene33",0.609006897
"1825","Levo",1,"gene33",-3.118439296
"1826","Levo",2,"gene33",-2.179972741
"1827","Levo",3,"gene33",-5.253635268
"1828","PAS",-3,"gene33",0.452200192
"1829","PAS",-2,"gene33",0.486822629
"1830","PAS",-1,"gene33",-0.0834841
"1831","PAS",0,"gene33",-0.040282511
"1832","PAS",1,"gene33",0.611103787
"1833","PAS",2,"gene33",1.110950427
"1834","PAS",3,"gene33",-0.312908954
"1835","Line",-3,"gene33",-1.128246915
"1836","Line",-2,"gene33",-2.216110193
"1837","Line",-1,"gene33",-2.136897015
"1838","Line",0,"gene33",-1.950907248
"1839","Line",1,"gene33",-2.789747275
"1840","Line",2,"gene33",-2.716335777
"1841","Line",3,"gene33",-2.007669239
"1842","Rif",-3,"gene33",0.299331445
"1843","Rif",-2,"gene33",0.617016736
"1844","Rif",-1,"gene33",0.197652093
"1845","Rif",0,"gene33",-0.872120601
"1846","Rif",1,"gene33",-1.591979571
"1847","Rif",2,"gene33",-2.993497907
"1848","Rif",3,"gene33",-4.24098813
"1849","Ethi",-3,"gene34",-0.284718727
"1850","Ethi",-2,"gene34",-0.823886541
"1851","Ethi",-1,"gene34",0.354048213
"1852","Ethi",0,"gene34",-0.030071756
"1853","Ethi",1,"gene34",-0.02064431
"1854","Ethi",2,"gene34",-0.82430526
"1855","Ethi",3,"gene34",-1.456625824
"1856","KasA",-3,"gene34",-0.329382761
"1857","KasA",-2,"gene34",0.025846073
"1858","KasA",-1,"gene34",-0.447086088
"1859","KasA",0,"gene34",-1.083384613
"1860","KasA",1,"gene34",-0.867058847
"1861","KasA",2,"gene34",-1.623115944
"1862","KasA",3,"gene34",-3.054797199
"1863","Etha",-3,"gene34",0.463090804
"1864","Etha",-2,"gene34",0.553202014
"1865","Etha",-1,"gene34",1.649457299
"1866","Etha",0,"gene34",1.483065641
"1867","Etha",1,"gene34",-0.481069874
"1868","Etha",2,"gene34",-1.226094053
"1869","Etha",3,"gene34",-1.160411198
"1870","Cipro",-3,"gene34",0.225827783
"1871","Cipro",-2,"gene34",0.752639104
"1872","Cipro",-1,"gene34",0.882293232
"1873","Cipro",0,"gene34",1.372820099
"1874","Cipro",1,"gene34",1.743439112
"1875","Cipro",2,"gene34",2.736731067
"1876","Cipro",3,"gene34",-1.327881237
"1877","Levo",-3,"gene34",-0.11867784
"1878","Levo",-2,"gene34",0.771870628
"1879","Levo",-1,"gene34",1.043677832
"1880","Levo",0,"gene34",0.693849131
"1881","Levo",1,"gene34",-2.103333395
"1882","Levo",2,"gene34",-1.873011114
"1883","Levo",3,"gene34",-3.848849063
"1884","PAS",-3,"gene34",0.376432088
"1885","PAS",-2,"gene34",0.667638243
"1886","PAS",-1,"gene34",0.241731729
"1887","PAS",0,"gene34",0.444258209
"1888","PAS",1,"gene34",0.865362021
"1889","PAS",2,"gene34",1.43497032
"1890","PAS",3,"gene34",0.264146933
"1891","Line",-3,"gene34",-0.946773975
"1892","Line",-2,"gene34",-2.010662574
"1893","Line",-1,"gene34",-1.823727286
"1894","Line",0,"gene34",-1.390460409
"1895","Line",1,"gene34",-2.179128939
"1896","Line",2,"gene34",-2.22531563
"1897","Line",3,"gene34",-1.772865459
"1898","Rif",-3,"gene34",0.071792039
"1899","Rif",-2,"gene34",0.333918051
"1900","Rif",-1,"gene34",-0.221484824
"1901","Rif",0,"gene34",-1.217289381
"1902","Rif",1,"gene34",-1.577022957
"1903","Rif",2,"gene34",-2.191029752
"1904","Rif",3,"gene34",-3.014740845
"1905","Ethi",-3,"gene35",-0.657672808
"1906","Ethi",-2,"gene35",-1.602485702
"1907","Ethi",-1,"gene35",0.541587428
"1908","Ethi",0,"gene35",-0.182761528
"1909","Ethi",1,"gene35",-0.112477995
"1910","Ethi",2,"gene35",-0.971779132
"1911","Ethi",3,"gene35",-2.36117961
"1912","KasA",-3,"gene35",-0.640267203
"1913","KasA",-2,"gene35",0.006810145
"1914","KasA",-1,"gene35",-0.60407625
"1915","KasA",0,"gene35",-1.556661414
"1916","KasA",1,"gene35",-1.1819129
"1917","KasA",2,"gene35",-2.013202505
"1918","KasA",3,"gene35",-4.757079547
"1919","Etha",-3,"gene35",0.04550658
"1920","Etha",-2,"gene35",-0.045247972
"1921","Etha",-1,"gene35",0.474807706
"1922","Etha",0,"gene35",0.00025691
"1923","Etha",1,"gene35",-2.362246655
"1924","Etha",2,"gene35",-3.324387111
"1925","Etha",3,"gene35",-2.707627632
"1926","Cipro",-3,"gene35",0.547013394
"1927","Cipro",-2,"gene35",1.040275982
"1928","Cipro",-1,"gene35",0.883407676
"1929","Cipro",0,"gene35",1.962074424
"1930","Cipro",1,"gene35",2.174612075
"1931","Cipro",2,"gene35",1.54635961
"1932","Cipro",3,"gene35",-2.511869837
"1933","Levo",-3,"gene35",-0.260841442
"1934","Levo",-2,"gene35",0.681792106
"1935","Levo",-1,"gene35",1.231960172
"1936","Levo",0,"gene35",0.485311481
"1937","Levo",1,"gene35",-5.078365149
"1938","Levo",2,"gene35",-2.793741441
"1939","Levo",3,"gene35",-6.236730745
"1940","PAS",-3,"gene35",0.382642863
"1941","PAS",-2,"gene35",0.140078056
"1942","PAS",-1,"gene35",-0.659307396
"1943","PAS",0,"gene35",-0.912534309
"1944","PAS",1,"gene35",-0.524296512
"1945","PAS",2,"gene35",-0.119872963
"1946","PAS",3,"gene35",-1.265798887
"1947","Line",-3,"gene35",-1.324071376
"1948","Line",-2,"gene35",-2.526349743
"1949","Line",-1,"gene35",-2.080844492
"1950","Line",0,"gene35",-2.442732285
"1951","Line",1,"gene35",-3.534926534
"1952","Line",2,"gene35",-3.395360093
"1953","Line",3,"gene35",-2.380480088
"1954","Rif",-3,"gene35",0.200087346
"1955","Rif",-2,"gene35",0.334440235
"1956","Rif",-1,"gene35",0.000530386
"1957","Rif",0,"gene35",-1.943391858
"1958","Rif",1,"gene35",-2.24335577
"1959","Rif",2,"gene35",-4.079678202
"1960","Rif",3,"gene35",-5.506103139
"1961","Ethi",-3,"gene36",-0.340752675
"1962","Ethi",-2,"gene36",-0.604813461
"1963","Ethi",-1,"gene36",0.349566181
"1964","Ethi",0,"gene36",0.025852991
"1965","Ethi",1,"gene36",-0.24037547
"1966","Ethi",2,"gene36",-1.783548272
"1967","Ethi",3,"gene36",-1.985214516
"1968","KasA",-3,"gene36",-0.112478513
"1969","KasA",-2,"gene36",0.216962937
"1970","KasA",-1,"gene36",-0.197673163
"1971","KasA",0,"gene36",-0.687086818
"1972","KasA",1,"gene36",-0.879925087
"1973","KasA",2,"gene36",-1.963707445
"1974","KasA",3,"gene36",-4.1091195
"1975","Etha",-3,"gene36",0.485623975
"1976","Etha",-2,"gene36",0.400147537
"1977","Etha",-1,"gene36",1.034142035
"1978","Etha",0,"gene36",-0.152207572
"1979","Etha",1,"gene36",-1.018892926
"1980","Etha",2,"gene36",-1.812904501
"1981","Etha",3,"gene36",-1.574146133
"1982","Cipro",-3,"gene36",0.234936847
"1983","Cipro",-2,"gene36",0.740604016
"1984","Cipro",-1,"gene36",0.811054933
"1985","Cipro",0,"gene36",1.315912488
"1986","Cipro",1,"gene36",1.504478488
"1987","Cipro",2,"gene36",1.052395749
"1988","Cipro",3,"gene36",-2.595808718
"1989","Levo",-3,"gene36",-0.185914644
"1990","Levo",-2,"gene36",1.061796445
"1991","Levo",-1,"gene36",1.06419624
"1992","Levo",0,"gene36",0.210332327
"1993","Levo",1,"gene36",-2.754916653
"1994","Levo",2,"gene36",-2.308205584
"1995","Levo",3,"gene36",-5.124858997
"1996","PAS",-3,"gene36",0.519096636
"1997","PAS",-2,"gene36",1.10479619
"1998","PAS",-1,"gene36",0.855497239
"1999","PAS",0,"gene36",1.112534157
"2000","PAS",1,"gene36",1.298811403
"2001","PAS",2,"gene36",0.744533933
"2002","PAS",3,"gene36",-0.390268007
"2003","Line",-3,"gene36",-0.814080996
"2004","Line",-2,"gene36",-1.970901694
"2005","Line",-1,"gene36",-2.056486253
"2006","Line",0,"gene36",-1.813883054
"2007","Line",1,"gene36",-2.843841536
"2008","Line",2,"gene36",-2.515461306
"2009","Line",3,"gene36",-1.759691866
"2010","Rif",-3,"gene36",-0.012992811
"2011","Rif",-2,"gene36",0.154199881
"2012","Rif",-1,"gene36",-0.391957064
"2013","Rif",0,"gene36",-2.307226713
"2014","Rif",1,"gene36",-2.1931772
"2015","Rif",2,"gene36",-3.02337429
"2016","Rif",3,"gene36",-4.094447522
"2017","Ethi",-3,"gene37",-0.301143581
"2018","Ethi",-2,"gene37",-0.724719479
"2019","Ethi",-1,"gene37",0.460081957
"2020","Ethi",0,"gene37",0.001899386
"2021","Ethi",1,"gene37",-0.110807725
"2022","Ethi",2,"gene37",-1.63385668
"2023","Ethi",3,"gene37",-1.651134672
"2024","KasA",-3,"gene37",-0.222500705
"2025","KasA",-2,"gene37",0.157979931
"2026","KasA",-1,"gene37",-0.335595298
"2027","KasA",0,"gene37",-1.095423036
"2028","KasA",1,"gene37",-1.062654548
"2029","KasA",2,"gene37",-1.671993979
"2030","KasA",3,"gene37",-3.441675148
"2031","Etha",-3,"gene37",0.428301532
"2032","Etha",-2,"gene37",0.286437819
"2033","Etha",-1,"gene37",1.238573504
"2034","Etha",0,"gene37",1.067693282
"2035","Etha",1,"gene37",-0.233259155
"2036","Etha",2,"gene37",-0.940932278
"2037","Etha",3,"gene37",-1.031418817
"2038","Cipro",-3,"gene37",0.152283746
"2039","Cipro",-2,"gene37",0.614839677
"2040","Cipro",-1,"gene37",0.781325691
"2041","Cipro",0,"gene37",1.254249459
"2042","Cipro",1,"gene37",1.372790737
"2043","Cipro",2,"gene37",1.923058311
"2044","Cipro",3,"gene37",-1.811852806
"2045","Levo",-3,"gene37",-0.615516882
"2046","Levo",-2,"gene37",0.568129246
"2047","Levo",-1,"gene37",0.778070042
"2048","Levo",0,"gene37",0.089188284
"2049","Levo",1,"gene37",-2.575691156
"2050","Levo",2,"gene37",-2.39060495
"2051","Levo",3,"gene37",-4.183087274
"2052","PAS",-3,"gene37",0.475252943
"2053","PAS",-2,"gene37",0.887910411
"2054","PAS",-1,"gene37",0.499775262
"2055","PAS",0,"gene37",0.624431298
"2056","PAS",1,"gene37",0.942064092
"2057","PAS",2,"gene37",0.95242734
"2058","PAS",3,"gene37",-0.343428943
"2059","Line",-3,"gene37",-0.919603939
"2060","Line",-2,"gene37",-2.032056602
"2061","Line",-1,"gene37",-1.756280174
"2062","Line",0,"gene37",-1.456613953
"2063","Line",1,"gene37",-2.187447169
"2064","Line",2,"gene37",-2.28765181
"2065","Line",3,"gene37",-1.736944013
"2066","Rif",-3,"gene37",0.101477594
"2067","Rif",-2,"gene37",0.336158624
"2068","Rif",-1,"gene37",-0.201193666
"2069","Rif",0,"gene37",-1.033015057
"2070","Rif",1,"gene37",-1.392712195
"2071","Rif",2,"gene37",-2.025887562
"2072","Rif",3,"gene37",-3.091339319
"2073","Ethi",-3,"gene38",-0.131631882
"2074","Ethi",-2,"gene38",-0.510204171
"2075","Ethi",-1,"gene38",0.609611845
"2076","Ethi",0,"gene38",0.25545815
"2077","Ethi",1,"gene38",-0.179626564
"2078","Ethi",2,"gene38",-1.33653779
"2079","Ethi",3,"gene38",-1.165389647
"2080","KasA",-3,"gene38",-0.303365754
"2081","KasA",-2,"gene38",0.064546712
"2082","KasA",-1,"gene38",-0.486729748
"2083","KasA",0,"gene38",-1.391322928
"2084","KasA",1,"gene38",-2.138537491
"2085","KasA",2,"gene38",-2.501432685
"2086","KasA",3,"gene38",-3.586824176
"2087","Etha",-3,"gene38",0.351481094
"2088","Etha",-2,"gene38",0.115042631
"2089","Etha",-1,"gene38",0.86757143
"2090","Etha",0,"gene38",0.192927489
"2091","Etha",1,"gene38",-0.406722849
"2092","Etha",2,"gene38",-1.33538632
"2093","Etha",3,"gene38",-1.243254682
"2094","Cipro",-3,"gene38",0.256057053
"2095","Cipro",-2,"gene38",0.795310151
"2096","Cipro",-1,"gene38",0.800392482
"2097","Cipro",0,"gene38",1.212877608
"2098","Cipro",1,"gene38",1.244462239
"2099","Cipro",2,"gene38",1.072554513
"2100","Cipro",3,"gene38",-2.157728288
"2101","Levo",-3,"gene38",-0.471267501
"2102","Levo",-2,"gene38",0.748227143
"2103","Levo",-1,"gene38",0.92274827
"2104","Levo",0,"gene38",-0.201077742
"2105","Levo",1,"gene38",-2.397474955
"2106","Levo",2,"gene38",-2.391557663
"2107","Levo",3,"gene38",-3.955697608
"2108","PAS",-3,"gene38",0.52887128
"2109","PAS",-2,"gene38",1.097200176
"2110","PAS",-1,"gene38",0.743740462
"2111","PAS",0,"gene38",0.880074784
"2112","PAS",1,"gene38",1.161831948
"2113","PAS",2,"gene38",1.19775537
"2114","PAS",3,"gene38",0.199890211
"2115","Line",-3,"gene38",-1.035501866
"2116","Line",-2,"gene38",-1.851989344
"2117","Line",-1,"gene38",-1.843398943
"2118","Line",0,"gene38",-1.61963068
"2119","Line",1,"gene38",-2.407922016
"2120","Line",2,"gene38",-2.19493676
"2121","Line",3,"gene38",-1.757603094
"2122","Rif",-3,"gene38",-0.436039961
"2123","Rif",-2,"gene38",-0.291593904
"2124","Rif",-1,"gene38",-0.880829842
"2125","Rif",0,"gene38",-1.87496532
"2126","Rif",1,"gene38",-2.350569655
"2127","Rif",2,"gene38",-2.630111049
"2128","Rif",3,"gene38",-3.439127106
"2129","Ethi",-3,"gene39",-0.291365761
"2130","Ethi",-2,"gene39",-0.458224459
"2131","Ethi",-1,"gene39",0.449157653
"2132","Ethi",0,"gene39",0.127928735
"2133","Ethi",1,"gene39",0.018970285
"2134","Ethi",2,"gene39",-0.412665408
"2135","Ethi",3,"gene39",-1.350938577
"2136","KasA",-3,"gene39",-0.348829348
"2137","KasA",-2,"gene39",0.000470415
"2138","KasA",-1,"gene39",-0.433644551
"2139","KasA",0,"gene39",-0.983325076
"2140","KasA",1,"gene39",-0.837882269
"2141","KasA",2,"gene39",-1.415628042
"2142","KasA",3,"gene39",-3.718486174
"2143","Etha",-3,"gene39",0.520456275
"2144","Etha",-2,"gene39",0.67104961
"2145","Etha",-1,"gene39",1.986230272
"2146","Etha",0,"gene39",2.174273849
"2147","Etha",1,"gene39",-0.066910051
"2148","Etha",2,"gene39",-1.026642355
"2149","Etha",3,"gene39",-0.822710051
"2150","Cipro",-3,"gene39",0.244897347
"2151","Cipro",-2,"gene39",0.773753911
"2152","Cipro",-1,"gene39",0.868275602
"2153","Cipro",0,"gene39",1.395644192
"2154","Cipro",1,"gene39",1.721319631
"2155","Cipro",2,"gene39",2.937604503
"2156","Cipro",3,"gene39",-1.495703768
"2157","Levo",-3,"gene39",0.027826219
"2158","Levo",-2,"gene39",0.927815908
"2159","Levo",-1,"gene39",1.131691649
"2160","Levo",0,"gene39",0.95718465
"2161","Levo",1,"gene39",-2.273336285
"2162","Levo",2,"gene39",-1.651181047
"2163","Levo",3,"gene39",-3.955099689
"2164","PAS",-3,"gene39",0.499952982
"2165","PAS",-2,"gene39",0.799869616
"2166","PAS",-1,"gene39",0.444737369
"2167","PAS",0,"gene39",0.760957238
"2168","PAS",1,"gene39",1.367506903
"2169","PAS",2,"gene39",1.981858542
"2170","PAS",3,"gene39",0.946205187
"2171","Line",-3,"gene39",-0.894155968
"2172","Line",-2,"gene39",-1.936983344
"2173","Line",-1,"gene39",-1.816208758
"2174","Line",0,"gene39",-1.228722379
"2175","Line",1,"gene39",-2.162031762
"2176","Line",2,"gene39",-2.241386153
"2177","Line",3,"gene39",-1.674065327
"2178","Rif",-3,"gene39",0.022408254
"2179","Rif",-2,"gene39",0.397939448
"2180","Rif",-1,"gene39",-0.09634717
"2181","Rif",0,"gene39",-0.407933549
"2182","Rif",1,"gene39",-1.207296731
"2183","Rif",2,"gene39",-1.980300148
"2184","Rif",3,"gene39",-3.437435185
"2185","Ethi",-3,"gene40",-0.4374603
"2186","Ethi",-2,"gene40",-0.332629362
"2187","Ethi",-1,"gene40",0.230535576
"2188","Ethi",0,"gene40",-0.083496217
"2189","Ethi",1,"gene40",-0.203291367
"2190","Ethi",2,"gene40",-0.208594957
"2191","Ethi",3,"gene40",-1.583019009
"2192","KasA",-3,"gene40",-0.175628784
"2193","KasA",-2,"gene40",0.081890075
"2194","KasA",-1,"gene40",-0.509861732
"2195","KasA",0,"gene40",-1.05924639
"2196","KasA",1,"gene40",-0.97563666
"2197","KasA",2,"gene40",-1.282684844
"2198","KasA",3,"gene40",-3.08148533
"2199","Etha",-3,"gene40",0.632601668
"2200","Etha",-2,"gene40",0.478626867
"2201","Etha",-1,"gene40",1.907307094
"2202","Etha",0,"gene40",2.385077127
"2203","Etha",1,"gene40",0.108829023
"2204","Etha",2,"gene40",-0.994081871
"2205","Etha",3,"gene40",-0.821253303
"2206","Cipro",-3,"gene40",0.176214016
"2207","Cipro",-2,"gene40",0.710900246
"2208","Cipro",-1,"gene40",0.957743965
"2209","Cipro",0,"gene40",1.333600055
"2210","Cipro",1,"gene40",1.649785026
"2211","Cipro",2,"gene40",2.312456522
"2212","Cipro",3,"gene40",-2.089906431
"2213","Levo",-3,"gene40",0.402302975
"2214","Levo",-2,"gene40",1.158935706
"2215","Levo",-1,"gene40",1.3900219
"2216","Levo",0,"gene40",1.262981357
"2217","Levo",1,"gene40",-2.517759573
"2218","Levo",2,"gene40",-1.295697031
"2219","Levo",3,"gene40",-4.445704636
"2220","PAS",-3,"gene40",0.446670465
"2221","PAS",-2,"gene40",0.885127955
"2222","PAS",-1,"gene40",0.500199862
"2223","PAS",0,"gene40",0.84863491
